post_type,title,menu_number,category,excerpt,price_chf,badge_vegetarisch,badge_vegan,badge_scharf,badge_haus_hit,highlight_home,notes,source
speisen,Kindermenü,0,Vorspeisen,Vier handgefertigte Nuggets aus Swiss Gourmet Poulet oder Schweizer Tofu Nuggets mit einer Kinderportion Pommes Frites und Ketchup. Nur im Restaurant erhältlich.,12.9,,,,,,Nur im Restaurant erhältlich,neu.pdf
speisen,Goi Cuon (kalt) – 1 Stück,1,Vorspeisen,"Frisch zubereitete grosse Sommerrolle mit Reisnudeln, frischem Salat, Pfefferminz, Gurken und Kräutermix. Proteinwahl: Poulet, Rind, Crevetten oder Tofu.",9.9,,,,,,Basis-Version siehe weitere Varianten,neu.pdf
speisen,Goi Cuon (kalt) – 2 Stück,1,Vorspeisen,"Frisch zubereitete grosse Sommerrollen mit Reisnudeln, frischem Salat, Pfefferminz, Gurken und Kräutermix. Proteinwahl: Poulet, Rind, Crevetten oder Tofu.",18.9,,,,,,Basis-Version,neu.pdf
speisen,Goi Cuon (kalt) – 3 Stück,1,Vorspeisen,"Frisch zubereitete grosse Sommerrollen mit Reisnudeln, frischem Salat, Pfefferminz, Gurken und Kräutermix. Proteinwahl: Poulet, Rind, Crevetten oder Tofu.",26.9,,,,,,,neu.pdf
speisen,Cha gio Chay (Vegi),2,Vorspeisen,"Drei hausgemachte, frittierte Frühlingsrollen im Teigmantel mit Glasnudeln, frischem Gemüse und Kräuter-Mix.",11.9,1,,,,,,neu.pdf
speisen,Hoanh Thanh Chien,3,Vorspeisen,"Drei Stück hausgemachte Wan Tan mit Schweizer Rindfleisch, frischem Kohlrabi und traditionellen vietnamesischen Gewürzen. Gross, saftig und aromatisch.",10.9,,,,,,,neu.pdf
speisen,Cha gio Thit,4,Vorspeisen,"Drei Stück frittierte handgemachte vietnamesische Frühlingsrollen im Reisteigmantel mit Glasnudeln, Swiss Gourmet Poulet, frischem Gemüse und Kräuter-Mix.",13.9,,,,,,Im Salatblatt einwickeln und geniessen,neu.pdf
speisen,Poulet Nuggets,5,Vorspeisen,"Vier handgefertigte Nuggets aus 100% Swiss Gourmet Pouletfleisch mit knusprigem Teigmantel. Hausgemachte Saucen: Süss-Sauer, Orange oder Teriyaki.",12.9,,,,,,,neu.pdf
speisen,Tofu Nuggets,5,Vorspeisen,"Vier handgefertigte Nuggets mit Schweizer Tofu und knusprigem Teigmantel. Hausgemachte Saucen: Süss-Sauer, Orange oder Teriyaki.",11.9,1,,,,,,neu.pdf
speisen,Satay Gà Vietdura,6,Vorspeisen,"Unser Haus-Hit: Zwei saftige, grosse, von Hand gefertigte Swiss Gourmet Poulet-Spiesse. Serviert mit hausgemachter Satay-Sauce und gehackten Erdnüssen.",14.9,,,,1,1,2 Stück,neu.pdf
speisen,Vorspeise-Platte 1 Vietdura pro Person,7,Vorspeisen,"Vorspeiseplatte mit je einem Stück Cha gio Thit, Hoanh Thanh Chien und einem Poulet Nugget. Kann an jede Personenzahl angepasst werden.",11.9,,,,,,,neu.pdf
speisen,Vorspeise-Platte 2 Vietdura pro Person,8,Vorspeisen,Vorspeiseplatte mit einer Goi Cuon Ga (kalt) und einem Stück Satay Gà Vietdura. Kann an jede Personenzahl angepasst werden.,17.9,,,,,,,neu.pdf
speisen,Hoanh Thanh Soup,9,Vorspeisen,"Schmackhafte vietnamesische Gemüsebrühe mit Gemüsemix und drei handgemachten Wan Tan, gefüllt mit Rindfleisch, Kohlrabi und vietnamesischen Kräutern.",13.9,,,,,,,neu.pdf
speisen,Kleine Gemüsesuppe,10,Vorspeisen,Schmackhafte vietnamesische hausgemachte Gemüsebrühe mit knackigem Gemüse und vietnamesischem Kräutermix.,10.9,1,,,,,,neu.pdf
speisen,Miến Trộn Thịt (Glasnudelsalat),11,Salate Hauptgang,"Salat mit Glasnudeln, Karotten, Weisskohl, Tomaten, Pfefferminz, Sojasprossen und Gurken. Wahl zwischen Swiss Gourmet Poulet oder hauchdünn geschnittenem Suisse Garantie Rindfleisch. Serviert mit Haus-Dressing.",25.9,,,,,,,neu.pdf
speisen,Gỏi đu đủ (Papayasalat),12,Salate Hauptgang,"Grüner, knackiger Papaya-Salat mit Karotten, frischem Kräutermix, Pfefferminz und Proteinwahl: Rind, Poulet, Tofu oder pur. Abgerundet mit aromatischer Haussauce.",26.9,,,,,,Wichtig: enthält Fischsauce und ist daher nicht vegetarisch,neu.pdf
speisen,Gỏi Bắp Cải Cà Rốt (Kabissalat mit Karotten),13,Salate Hauptgang,"Fein geschnittener Weisskohl und Karottenstreifen mit frischen Kräutern und hausgemachter Limetten-Essig-Sauce. Wahlweise mit Poulet, Rind, Crevetten, Tofu oder pur. Unser Haus-Hit-Salat.",25.9,,,,1,,,neu.pdf
speisen,Cai Xao,14,Salate Hauptgang,"Wokgericht mit vietnamesischen Kräutern, grünem Blattgemüse und Karotten, abgelöscht mit leichter Knoblauch-Austernsauce. Proteinwahl möglich.",28.9,,1,,,,Proteinwahl: Nur Gemüse CHF 0.00; Poulet/Rind/Ente/Crevetten CHF 2.90; Tofu CHF 1.90,neu.pdf
speisen,Satay Gà Vietdura,15,Salate Hauptgang,"Unser Haus-Hit: Vier zarte, selbst zubereitete Swiss Gourmet Pouletspiesse mit hausgemachter Satay-Sauce, garniert mit Erdnüssen. Serviert mit Jasminreis.",30.9,,,,1,1,,neu.pdf
